City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Dhidhdhoo,MV,6.8833,73.1,82.76,76,100,15.79,overcast clouds
265,Coahuayana,MX,18.7333,-103.6833,77.58,87,78,1.12,broken clouds
266,Hof,DE,50.3167,11.9167,56.97,75,100,11.99,overcast clouds
267,Carutapera,BR,-1.195,-46.02,77.95,77,6,7.18,clear sky
268,Te Anau,NZ,-45.4167,167.7167,54.01,63,100,0.76,overcast clouds
269,Juruti,BR,-2.1522,-56.0922,74.59,92,100,1.12,overcast clouds
270,Biryusinsk,RU,55.9634,97.8235,40.03,69,100,6.91,overcast clouds
271,Coihaique,CL,-45.5752,-72.0662,44.55,57,20,5.75,few clouds
272,Chimoio,MZ,-19.1164,33.4833,67.95,82,0,2.86,clear sky
273,Morondava,MG,-20.2833,44.2833,74.37,89,2,5.44,clear sky
274,Puerto Escondido,MX,15.85,-97.0667,83.23,61,75,0.0,broken clouds
275,Dingle,PH,10.9995,122.6711,83.84,78,98,3.27,overcast clouds
276,Sur,OM,22.5667,59.5289,83.12,75,100,18.81,overcast clouds
277,Bulgan,MN,48.8125,103.5347,35.22,68,100,1.63,overcast clouds
278,Shelburne,CA,44.0787,-80.2041,66.18,72,97,9.6,overcast clouds
279,Alice Springs,AU,-23.7,133.8833,72.95,27,0,8.05,clear sky
280,College,US,64.8569,-147.8028,34.29,97,90,4.61,mist
281,Leshukonskoye,RU,64.8989,45.7622,39.85,87,100,4.29,overcast clouds
282,Kuytun,RU,54.3419,101.5036,37.26,75,100,3.0,overcast clouds
283,Kaitangata,NZ,-46.2817,169.8464,53.92,74,100,3.0,light rain
284,Bud,US,39.447,-86.1758,70.3,97,99,10.45,light rain
285,Pangnirtung,CA,66.1451,-65.7125,36.99,83,13,1.36,few clouds
286,Hambantota,LK,6.1241,81.1185,75.54,100,20,2.3,few clouds
287,Puerto Ayora,EC,-0.7393,-90.3518,69.55,90,71,8.84,broken clouds
288,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.01,92,83,5.41,broken clouds
289,Esperance,AU,-33.8667,121.9,55.24,68,88,26.17,overcast clouds
290,Duki,PK,30.1541,68.5728,76.26,59,23,4.07,few clouds
291,Aklavik,CA,68.2191,-135.0107,34.63,95,100,15.05,overcast clouds
292,Puerto Suarez,BO,-18.95,-57.8,84.0,47,3,4.76,clear sky
293,Okha,RU,53.5739,142.9478,49.73,56,45,18.34,scattered clouds
294,Borba,BR,-4.3878,-59.5939,72.18,99,64,2.13,heavy intensity rain
295,Copiapo,CL,-27.3667,-70.3333,51.49,56,1,0.43,clear sky
296,Nosy Varika,MG,-20.5833,48.5333,65.73,91,15,6.96,few clouds
297,Tazmalt,DZ,36.3868,4.3989,70.18,62,0,3.24,clear sky
298,Mastic Beach,US,40.7668,-72.8521,68.99,87,94,1.01,overcast clouds
299,Ales,FR,44.1333,4.0833,68.04,93,100,12.41,overcast clouds
300,Dicabisagan,PH,17.0818,122.4157,84.56,75,98,7.81,overcast clouds
301,Kochevo,RU,59.5994,54.3125,36.59,83,100,3.87,overcast clouds
302,Shingu,JP,33.7333,135.9833,79.79,46,0,5.84,clear sky
303,Borogontsy,RU,62.6683,131.1683,35.22,74,71,1.57,broken clouds
304,Acari,PE,-15.4311,-74.6158,65.26,78,34,4.81,scattered clouds
305,Pinega,RU,64.7001,43.3936,38.32,94,84,4.7,broken clouds
306,Libreville,GA,0.3925,9.4537,78.82,89,75,8.05,moderate rain
307,Manturovo,RU,58.3353,44.7619,43.61,92,100,2.55,overcast clouds
308,Iwaki,JP,37.05,140.8833,78.03,65,7,3.0,clear sky
309,Pilar,BR,-9.5972,-35.9567,75.13,95,25,4.68,scattered clouds
310,Ambulu,ID,-8.345,113.6058,83.62,61,60,6.11,broken clouds
311,Nuuk,GL,64.1835,-51.7216,38.88,66,6,10.0,clear sky
312,Barentu,ER,15.1139,37.5928,74.53,67,100,4.9,overcast clouds
313,Banyo,CM,6.75,11.8167,62.73,91,55,3.06,broken clouds
314,San Rafael,AR,-34.6177,-68.3301,50.49,17,0,7.11,clear sky
315,Villamontes,BO,-21.25,-63.5,76.12,66,37,4.03,scattered clouds
316,Maniitsoq,GL,65.4167,-52.9,38.01,70,12,6.29,few clouds
317,Malartic,CA,48.1335,-78.1328,51.91,84,100,3.69,overcast clouds
318,Arraial Do Cabo,BR,-22.9661,-42.0278,71.1,92,100,9.13,overcast clouds
319,Saint-Francois,FR,46.4154,3.9054,67.68,62,0,21.85,clear sky
320,Along,IN,28.1667,94.7667,75.81,92,85,0.67,overcast clouds
321,Camacha,PT,33.0833,-16.3333,67.42,68,75,9.22,broken clouds
322,Newala,TZ,-10.9431,39.2787,62.85,90,59,6.49,broken clouds
323,Hervey Bay,AU,-25.2986,152.8535,83.03,59,0,11.14,clear sky
324,Lompoc,US,34.6391,-120.4579,78.94,49,1,5.41,clear sky
325,Ginda,IN,30.6945,78.4932,63.07,81,6,2.24,clear sky
326,Ilulissat,GL,69.2167,-51.1,16.63,73,21,6.76,few clouds
327,El Viejo,NI,12.6633,-87.1672,77.23,87,19,2.01,few clouds
328,Cidreira,BR,-30.1811,-50.2056,63.48,82,22,11.59,few clouds
329,Fort Nelson,CA,58.8053,-122.7002,53.19,26,20,9.22,few clouds
330,Nara,JP,34.6851,135.8049,79.97,45,0,3.29,clear sky
331,Souillac,MU,-20.5167,57.5167,71.37,83,40,12.66,scattered clouds
332,Bielsk Podlaski,PL,52.7651,23.1865,47.25,71,52,9.55,broken clouds
333,Alofi,NU,-19.0595,-169.9187,76.89,88,100,18.41,light rain
334,Thompson,CA,55.7435,-97.8558,51.96,87,75,0.0,broken clouds
335,Findlay,US,41.0442,-83.6499,69.75,86,100,12.46,moderate rain
336,Qaqortoq,GL,60.7167,-46.0333,39.06,72,1,3.27,clear sky
337,Etzatlan,MX,20.7667,-104.0833,69.57,96,51,3.74,broken clouds
338,Prince Rupert,CA,54.3161,-130.3201,48.29,83,90,10.36,moderate rain
339,Tomatlan,MX,19.9333,-105.25,76.14,91,40,0.49,scattered clouds
340,Dikson,RU,73.5069,80.5464,33.64,91,100,9.48,overcast clouds
341,Novyy Urengoy,RU,66.0833,76.6333,28.87,86,99,13.06,overcast clouds
342,Mount Gambier,AU,-37.8333,140.7667,58.91,94,90,12.66,light rain
343,Virginia Beach,US,36.8529,-75.978,71.65,74,75,6.91,broken clouds
344,Antofagasta,CL,-23.65,-70.4,58.28,81,57,5.77,broken clouds
345,Skjervoy,NO,70.0311,20.9714,50.97,79,68,12.91,broken clouds
